id,name,base_cost,base_qty,supplier,description,created_at,active,last_updated
1,Cordon gris 4mm Alonso Sobrino,3.2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
2,Cordon marron 4mm Alonso Sobrino,3.2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
3,Cordon azul royal 4mm Casa de la Costurera,2.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
4,Cordon rojo 4mm Casa de la Costurera,2.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
5,Cordon negro 4mm Casa de la Costurera,2.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
6,Cordon multicolor 5mm Waggon Beads Olazabal,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
7,"Cordon negro,gris y blanco 5mm Waggon Beads Olazabal",2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
8,"Cordon negro,gris, azul cielo y blanco 5mm Waggon Beads Olazabal",2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
9,Cordon anaranjado 7mm Amazon 90 feet TECEUM,3,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
10,Cordon crema 7mm Amazon 90 feet TECEUM,3,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
11,Cordon azul royal 7mm Amazon 90 feet TECEUM,3,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
12,Cordon azul cielo 7mm Amazon 90 feet TECEUM,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
13,Cordon fucsia 4mm Amazon 100 feet HOKINETY,2.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
14,Cordon verde esmeralda oscuro 4mm Amazon  50 feet TECEUM,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
15,Cordon beige  4mm Amazon  100 feet TECEUM,2.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
16,Cordon rojo 4mm Amazon  100 feet WEREWOLVES,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
17,Cordon fucsia 4mm Temu 5 yardas,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
18,Cordon blanco 4mm Amazon 100 feet WEREWOLVES,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
19,Cordon negro 4mm Amazon 100 feet WEREWOLVES,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
20,Cordon nautica negro,4.25,1,Capri,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
21,"Cordon nautica lila con glitter ",4.25,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
22,Cordon negro 4mm TECEUM 100 feet Amazon,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
23,Cordon navy blue 4mm 100 feet TECEUM Amazon,2.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
24,Cordon verde monte HOKINETY 4mm 100 feet,2.25,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
25,Cordon Jungle Camouflage TEMU 4mm,1,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
26,Cordon Rose red purple blue camouflage TEMU 4mm,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
27,Cordon negro TEMU 4mm 100 feet,3.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
28,Cordon navy blue 4mm 5 yardas TEMU,1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
29,Cordon dark red 4mm 5 yardas TEMU,1.45,1,Temu,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
30,Cordon verde 4mm 5 yardas TEMU,1.55,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
31,Cordon sky blue 4mm 5 yardas TEMU,1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
32,Cordon khaki 4mm 5 yardas TEMU,1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
33,Cordon rojo 4mm 5 yardas TEMU,1.55,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
34,Cordon violeta 4mm 5 yardas TEMU,1.4,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
35,Cordon mint green verde menta 4mm 5 yardas TEMU,1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
36,Cordon anaranjado 4mm 5 yardas TEMU,1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
37,"Cordon amarillo 5mm 100 pies Walmart ",1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
38,"Cordon rojo 7mm Amazon TECEUM 90 pies ",2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
39,Cordon negro 7mm TECEUM Amazon 90 pies,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
40,Cordon rosa 7mm TECEUM Amazon 90 pies,2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
41,"Cordon verde brillante 7mm Amazon 90 pies ",2,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
42,Cordon verde monte 4mm 5 yardas TEMU,1.5,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
43,Campanas plateadas varios tamanos UNICRAFTALE 8mm,10,40,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
44,Campanas plateadas varios tamanos UNICRAFTALE 7mm,10,40,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
45,Campanas plateadas varios tamanos UNICRAFTALE 6mm,10,40,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
46,Campanas plateadas varios tamanos UNICRAFTALE 4mm,10,40,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
47,Bolsita Organza blanca pequena,3,50,,,2026-01-09 01:49:57.828957+00,false,2026-01-19 04:35:18.058702
48,Bolsita Organza blanca grande*,2,6,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
49,Bolsita Organza blanca mediana,3.5,12,,,2026-01-09 01:49:57.828957+00,false,2026-01-19 04:35:18.058702
50,Bolsa de entrega,3,5,,,2026-01-09 01:49:57.828957+00,false,2026-01-19 04:35:18.058702
51,Papel triturado,1,1,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
52,Hook collar 12mm dorado Waggon Beads,13,50,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
53,Charm*,0,0,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
54,Hook 12mm plateado Amazon Cadikez,15,120,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
55,Hook 9mm plateado Waggon Beads,4.75,20,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
56,Campanas doradas UNICRAFTALE 5mm,10,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
57,Spacer Beads Amazon platas BEADIA 6x2mm,9,100,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
58,Spacer Beads Amazon doradas DICOSMETIC 6mm,12,50,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
59,"Oval Linking Rings Amazon UNICRAFTALE 10x3.5x2mm plata, dorado y rose gold",9,60,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
60,Spacer/Stopper Beads Rubber Inside 6mm plata Amazon UNICRAFTALE,11,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
61,Spacer/Stopper Beads Rubber Inside 6mm dorada Amazon UNICRAFTALE,11,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
62,Spacer/Stopper Beads Rubber Inside 8mm plata Amazon UNICRAFTALE,11,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
63,Spacer/Stopper Beads Rubber Inside 8mm dorada Amazon UNICRAFTALE,11,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
64,Spacer/Stopper Beads Rubber Inside 10mm plata Amazon UNICRAFTALE,11,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
65,Spacer/Stopper Beads Rubber Inside 10mm dorada Amazon UNICRAFTALE,11,30,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
66,Spacer Beads Amazon Loprome 7x4mm dorado (4mm hole),15,60,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
67,Spacer Beads Amazon Loprome 8x4.5mm plata (4.5mm hole),9,60,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
68,Rubber clear,1,25,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
69,Stud flat round blank pad dorado,11,100,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
70,Stud flat round blank pad plata,13,500,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
71,Jump 5mm dorado Waggon Beads Olazabal,1.25,100,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
72,Jump 7mm dorado  Waggon Beads Olazabal,3,10,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
73,"Jump 5mm plata ",1.25,100,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
74,"Jump 7mm plata ",2,70,,,2026-01-09 01:49:57.828957+00,true,2026-01-19 04:35:18.058702
