id,name,materials,cost,sale_price,photos,notes,active,created_at,worked_hours,labor_rate,last_updated
14,Silver Reverse Paracord Necklace 5 charms,"[{""material_id"":23,""name"":""Cordon navy blue 4mm 100 feet TECEUM Amazon"",""base_cost"":2.5,""base_qty"":1,""used_qty"":1},{""material_id"":54,""name"":""Hook 12mm plateado Amazon Cadikez"",""base_cost"":15,""base_qty"":120,""used_qty"":1},{""material_id"":45,""name"":""Campanas plateadas varios tamanos UNICRAFTALE 6mm"",""base_cost"":10,""base_qty"":40,""used_qty"":4},{""material_id"":51,""name"":""Papel triturado*"",""base_cost"":1,""base_qty"":1,""used_qty"":2},{""material_id"":53,""name"":""Charm*"",""base_cost"":1,""base_qty"":1,""used_qty"":5},{""material_id"":74,""name"":""Jump 7mm plata "",""base_cost"":2,""base_qty"":70,""used_qty"":9},{""material_id"":76,""name"":""Cadena plata"",""base_cost"":1,""base_qty"":1,""used_qty"":2},{""material_id"":117,""name"":""Sticker clear TEMU"",""base_cost"":5,""base_qty"":80,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta de presentacion*"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1}]",29.51,0,[],Launching.,true,2026-01-24 23:48:58.219613+00,1,12,2026-01-24 00:00:00
15,Adjustable Pearl Heart Bandana Bracelet,"[{""material_id"":174,""name"":""Bandana"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":53,""name"":""Charm*"",""base_cost"":2,""base_qty"":1,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1}]",8.96,0,[],,true,2026-01-25 01:38:04.012456+00,0.2,12,2026-01-24 00:00:00
16,Turkish eye Adjustable Paracord Bracelet,"[{""material_id"":53,""name"":""Charm*"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":18,""name"":""Cordon blanco 4mm Amazon 100 feet WEREWOLVES"",""base_cost"":2,""base_qty"":1,""used_qty"":1}]",8.96,0,[],,true,2026-01-25 01:46:35.420106+00,0.2,12,2026-01-24 00:00:00
17,Simple paracord Earrings,"[{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":68,""name"":""Rubber clear"",""base_cost"":1,""base_qty"":25,""used_qty"":2},{""material_id"":187,""name"":""Hook Earrings plata (brand: Bylion)"",""base_cost"":9,""base_qty"":400,""used_qty"":2},{""material_id"":188,""name"":""JumpRings 9,10,12mm  (Brand:YHYPOCI)"",""base_cost"":9,""base_qty"":600,""used_qty"":2},{""material_id"":158,""name"":""Cordon violeta Alonso Sobrino"",""base_cost"":3.2,""base_qty"":1,""used_qty"":1}]",10.04,0,[],,true,2026-01-25 01:56:46.497256+00,0.25,12,2026-01-24 00:00:00
18,Mi Isla Burgundy Bandana Choker,"[{""material_id"":53,""name"":""Charm*"",""base_cost"":4,""base_qty"":1,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":174,""name"":""Bandana"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":153,""name"":""Campanas plata 5mm UNICRAFTALE Amazon"",""base_cost"":9,""base_qty"":50,""used_qty"":2},{""material_id"":54,""name"":""Hook 12mm plateado Amazon Cadikez"",""base_cost"":15,""base_qty"":120,""used_qty"":1},{""material_id"":188,""name"":""JumpRings 9,10,12mm  (Brand:YHYPOCI)"",""base_cost"":9,""base_qty"":600,""used_qty"":3},{""material_id"":76,""name"":""Cadena plata"",""base_cost"":1,""base_qty"":1,""used_qty"":1}]",17.03,0,[],,true,2026-01-25 02:02:58.473772+00,0.5,12,2026-01-24 00:00:00
19,White-Red and Fruits Bandana Necklace,"[{""material_id"":53,""name"":""Charm*"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":127,""name"":""Campanas doradas 8mm UNICRAFTALE Amazon"",""base_cost"":10,""base_qty"":10,""used_qty"":2},{""material_id"":52,""name"":""Hook collar 12mm dorado Waggon Beads"",""base_cost"":13,""base_qty"":50,""used_qty"":1},{""material_id"":75,""name"":""Cadena dorada"",""base_cost"":1,""base_qty"":1,""used_qty"":2},{""material_id"":174,""name"":""Bandana"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":100,""name"":""Melocotón 5 Frutas acrilicas Amazon KitBeads"",""base_cost"":11,""base_qty"":30,""used_qty"":3},{""material_id"":189,""name"":""Jump ring dorada 10mm (Brand:HD Supplies)"",""base_cost"":10,""base_qty"":50,""used_qty"":7}]",29.76,0,[],,true,2026-01-25 02:11:24.234959+00,1.25,12,2026-01-24 00:00:00
20,Libélula Adjustable Necklace and Bracelet for girls,"[{""material_id"":48,""name"":""Bolsita Organza blanca grande*"",""base_cost"":2,""base_qty"":6,""used_qty"":1},{""material_id"":53,""name"":""Charm*"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":9,""name"":""Cordon anaranjado 7mm Amazon 90 feet TECEUM"",""base_cost"":3,""base_qty"":1,""used_qty"":2},{""material_id"":188,""name"":""JumpRings 9,10,12mm  (Brand:YHYPOCI)"",""base_cost"":9,""base_qty"":600,""used_qty"":2}]",17.98,0,[],,true,2026-01-25 02:15:59.216604+00,0.5,12,2026-01-24 00:00:00
21,Gold Heart Adjustable Paracord Necklaces,"[{""material_id"":53,""name"":""Charm*"",""base_cost"":15,""base_qty"":10,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":189,""name"":""Jump ring dorada 10mm (Brand:HD Supplies)"",""base_cost"":10,""base_qty"":50,""used_qty"":1},{""material_id"":13,""name"":""Cordon fucsia 4mm Amazon 100 feet HOKINETY"",""base_cost"":2.5,""base_qty"":1,""used_qty"":1}]",17.79,0,[],,true,2026-01-25 02:22:32.204638+00,0.75,12,2026-01-24 00:00:00
22,Chain Bandana Necklace,"[{""material_id"":53,""name"":""Charm*"",""base_cost"":3,""base_qty"":1,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":76,""name"":""Cadena plata"",""base_cost"":1,""base_qty"":1,""used_qty"":2},{""material_id"":188,""name"":""JumpRings 9,10,12mm  (Brand:YHYPOCI)"",""base_cost"":9,""base_qty"":600,""used_qty"":5},{""material_id"":54,""name"":""Hook 12mm plateado Amazon Cadikez"",""base_cost"":15,""base_qty"":120,""used_qty"":1},{""material_id"":43,""name"":""Campanas plateadas varios tamanos UNICRAFTALE 8mm"",""base_cost"":10,""base_qty"":40,""used_qty"":2},{""material_id"":174,""name"":""Bandana"",""base_cost"":1,""base_qty"":1,""used_qty"":1}]",24.03,0,[],,true,2026-01-25 02:24:53.489494+00,1,12,2026-01-24 00:00:00
23,"Stainless steel Flower, Braided Bandana Necklace","[{""material_id"":53,""name"":""Charm*"",""base_cost"":0,""base_qty"":0,""used_qty"":1},{""material_id"":188,""name"":""JumpRings 9,10,12mm  (Brand:YHYPOCI)"",""base_cost"":9,""base_qty"":600,""used_qty"":3},{""material_id"":54,""name"":""Hook 12mm plateado Amazon Cadikez"",""base_cost"":15,""base_qty"":120,""used_qty"":1},{""material_id"":43,""name"":""Campanas plateadas varios tamanos UNICRAFTALE 8mm"",""base_cost"":10,""base_qty"":40,""used_qty"":2},{""material_id"":76,""name"":""Cadena plata"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":174,""name"":""Bandana"",""base_cost"":1,""base_qty"":1,""used_qty"":3},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1}]",21.73,0,[],,true,2026-01-25 02:28:32.28625+00,1,12,2026-01-24 00:00:00
24,Multicolor Bandana- Paracord Keychain,"[{""material_id"":48,""name"":""Bolsita Organza blanca grande*"",""base_cost"":2,""base_qty"":6,""used_qty"":1},{""material_id"":53,""name"":""Charm*"",""base_cost"":0,""base_qty"":0,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":9,""name"":""Cordon anaranjado 7mm Amazon 90 feet TECEUM"",""base_cost"":3,""base_qty"":1,""used_qty"":1},{""material_id"":190,""name"":""Spring Ring 1\"" (Brand:JIEYAO)"",""base_cost"":7,""base_qty"":16,""used_qty"":1},{""material_id"":191,""name"":""Resin random Beads Llaveros"",""base_cost"":14,""base_qty"":30,""used_qty"":1}]",10.95,0,[],,true,2026-01-25 02:30:41.045414+00,0.25,12,2026-01-24 00:00:00
25,Mar Keychain,"[{""material_id"":48,""name"":""Bolsita Organza blanca grande*"",""base_cost"":2,""base_qty"":6,""used_qty"":1},{""material_id"":53,""name"":""Charm*"",""base_cost"":0,""base_qty"":0,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":190,""name"":""Spring Ring 1\"" (Brand:JIEYAO)"",""base_cost"":7,""base_qty"":16,""used_qty"":1},{""material_id"":99,""name"":""Cap plata Amazon UNICRAFTALE 6mm inner"",""base_cost"":8,""base_qty"":24,""used_qty"":2},{""material_id"":12,""name"":""Cordon azul cielo 7mm Amazon 90 feet TECEUM"",""base_cost"":2,""base_qty"":1,""used_qty"":1}]",10.05,0,[],,true,2026-01-25 03:32:01.68769+00,0.25,12,2026-01-24 00:00:00
26,Llavero Limited Edition San Valentin  (2026),"[{""material_id"":48,""name"":""Bolsita Organza blanca grande*"",""base_cost"":2,""base_qty"":6,""used_qty"":1},{""material_id"":53,""name"":""Charm*"",""base_cost"":0,""base_qty"":0,""used_qty"":1},{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":13,""name"":""Cordon fucsia 4mm Amazon 100 feet HOKINETY"",""base_cost"":2.5,""base_qty"":1,""used_qty"":2},{""material_id"":192,""name"":""Large Beads San Valentin Limited Edition"",""base_cost"":10,""base_qty"":100,""used_qty"":8},{""material_id"":193,""name"":""Heart Spring Ring llavero San Valentin Limited Ed"",""base_cost"":13,""base_qty"":20,""used_qty"":1}]",13.84,0,[],,true,2026-01-26 18:16:43.184437+00,0.25,12,2026-01-26 00:00:00
27,Pantallas (2 tonos) San Valentin Limited Edition 2026,"[{""material_id"":178,""name"":""Caja shipping 6x4x3 *"",""base_cost"":27,""base_qty"":50,""used_qty"":1},{""material_id"":180,""name"":""Stickers logo 2''  *"",""base_cost"":25,""base_qty"":60,""used_qty"":1},{""material_id"":85,""name"":""Tarjeta agradecimiento shipping *"",""base_cost"":30.09,""base_qty"":250,""used_qty"":1},{""material_id"":181,""name"":""Decoracion Shipping box *"",""base_cost"":1,""base_qty"":1,""used_qty"":1},{""material_id"":182,""name"":""Jewelry Cleaner *"",""base_cost"":7,""base_qty"":50,""used_qty"":1},{""material_id"":183,""name"":""Bolsita shipping box 14.5x19 *"",""base_cost"":19,""base_qty"":100,""used_qty"":1},{""material_id"":184,""name"":""Bolsitas clear plasticas envios *"",""base_cost"":9,""base_qty"":120,""used_qty"":1},{""material_id"":179,""name"":""Pega *"",""base_cost"":0.023,""base_qty"":1,""used_qty"":1},{""material_id"":68,""name"":""Rubber clear"",""base_cost"":1,""base_qty"":25,""used_qty"":1},{""material_id"":187,""name"":""Hook Earrings plata (brand: Bylion)"",""base_cost"":9,""base_qty"":400,""used_qty"":2},{""material_id"":194,""name"":""Jump Ring plata 6mm"",""base_cost"":7,""base_qty"":800,""used_qty"":2},{""material_id"":195,""name"":""Campanas platas 5mm UNICRAFTALE"",""base_cost"":9.5,""base_qty"":50,""used_qty"":2},{""material_id"":13,""name"":""Cordon fucsia 4mm Amazon 100 feet HOKINETY"",""base_cost"":2.5,""base_qty"":1,""used_qty"":1}]",13.02,0,[],2026 Limited Edition,true,2026-01-26 18:58:30.193452+00,0.5,12,2026-01-26 00:00:00
